"","S_U28","S_U10","S_T48","S_T41","S_T35","S_T23","S_T21","S_T07","S_R53","S_R44","S_R43B","S_R43A","S_R39","S_R36B","S_R36A","S_LGB","S_C06","F_U10F","F_T48M","F_T48F","F_T41M","F_T41F","F_T35M","F_T35F","F_T23M","F_T23F","F_T21M","F_T21F","F_T07F","F_R53M","F_R53F","F_R44M","F_R44F","F_R43M","F_R43F","F_R40M","F_R40F","F_R37M","F_R37F2","F_R37F","F_R36M","F_R36F","F_R26M","F_R26F","F_LGBF","F_C14M","F_C14F"
"S_U28",0,0.454977578475336,0.727892376681614,0.58152466367713,0.454080717488789,0.531031390134529,0.445022421524664,0.574798206278027,0.723766816143498,0.719910313901345,0.589955156950673,0.483497757847534,0.570224215246637,0.633991031390135,0.723408071748879,0.46,0.529237668161435,0.649775784753363,0.505919282511211,0.485022421524664,0.346008968609865,0.358026905829596,0.779551569506726,0.425470852017937,0.511390134529148,0.501973094170404,0.448251121076233,0.844932735426009,0.497040358744395,0.772107623318386,0.698923766816144,0.53085201793722,0.463318385650224,0.724215246636771,0.476412556053812,0.984663677130045,0.523408071748879,0.489775784753363,0.824663677130045,0.937937219730942,0.684663677130045,0.535336322869955,0.625829596412556,0.508878923766816,0.405919282511211,0.635605381165919,0.543856502242152
"S_U10",0.454977578475336,0,0.780358744394619,0.700627802690583,0.60457399103139,0.719730941704036,0.609955156950673,0.67372197309417,0.771748878923767,0.798206278026906,0.694618834080717,0.611031390134529,0.667982062780269,0.718116591928251,0.731210762331839,0.639730941704036,0.636681614349776,0.555605381165919,0.611031390134529,0.628430493273543,0.575156950672646,0.586995515695067,0.792914798206278,0.607443946188341,0.623408071748879,0.686547085201794,0.636053811659193,0.729955156950673,0.605022421524664,0.791479820627803,0.748251121076233,0.64609865470852,0.633542600896861,0.680986547085202,0.60914798206278,0.88152466367713,0.626547085201794,0.514977578475336,0.702331838565022,0.914349775784753,0.667533632286995,0.683587443946188,0.604394618834081,0.681614349775785,0.655784753363229,0.565650224215247,0.636143497757848
"S_T48",0.727892376681614,0.780358744394619,0,0.764394618834081,0.751838565022422,0.792466367713004,0.76152466367713,0.769058295964126,0.822780269058296,0.822421524663677,0.743677130044843,0.734260089686099,0.724304932735426,0.76914798206278,0.8552466367713,0.717937219730942,0.751748878923767,0.83542600896861,0.678116591928251,0.651659192825112,0.722600896860986,0.726816143497758,0.856143497757847,0.726816143497758,0.777847533632287,0.769058295964126,0.774349775784753,0.912017937219731,0.764932735426009,0.8647533632287,0.807085201793722,0.768609865470852,0.755156950672646,0.799013452914798,0.724394618834081,0.995336322869955,0.753632286995516,0.758834080717489,0.729596412556054,0.951210762331839,0.795336322869955,0.724484304932735,0.795067264573991,0.71695067264574,0.719820627802691,0.794618834080718,0.777757847533632
"S_T41",0.58152466367713,0.700627802690583,0.764394618834081,0,0.568340807174888,0.570403587443946,0.626547085201794,0.620627802690583,0.636681614349776,0.695964125560538,0.55542600896861,0.594529147982063,0.634618834080718,0.608520179372197,0.754170403587444,0.547085201793722,0.650941704035874,0.80914798206278,0.646547085201794,0.624843049327354,0.540448430493274,0.545291479820628,0.807713004484305,0.566636771300448,0.524035874439462,0.519372197309417,0.628161434977578,0.871390134529148,0.534529147982063,0.684125560538117,0.618385650224215,0.651121076233184,0.594260089686099,0.75237668161435,0.58457399103139,0.994529147982063,0.528609865470852,0.544484304932735,0.798295964125561,0.94932735426009,0.734708520179372,0.58932735426009,0.689775784753363,0.631659192825112,0.583139013452915,0.68304932735426,0.653632286995516
"S_T35",0.454080717488789,0.60457399103139,0.751838565022422,0.568340807174888,0,0.413094170403587,0.32,0.539641255605381,0.642869955156951,0.664125560538117,0.569058295964126,0.434439461883408,0.638654708520179,0.675784753363229,0.762421524663677,0.505201793721973,0.549237668161435,0.774798206278027,0.546367713004484,0.562242152466368,0.311748878923767,0.349865470852018,0.774977578475336,0.259372197309417,0.437937219730942,0.424304932735426,0.320538116591928,0.83695067264574,0.408789237668161,0.745560538116592,0.675605381165919,0.465381165919283,0.397937219730942,0.723677130044843,0.47390134529148,0.970493273542601,0.437668161434978,0.378116591928251,0.783856502242152,0.908789237668161,0.615784753363229,0.393452914798206,0.609506726457399,0.502511210762332,0.497668161434978,0.486188340807175,0.398206278026906
"S_T23",0.531031390134529,0.719730941704036,0.792466367713004,0.570403587443946,0.413094170403587,0,0.378026905829596,0.683677130044843,0.65542600896861,0.707174887892377,0.652914798206278,0.438116591928251,0.677309417040359,0.698654708520179,0.800269058295964,0.520358744394619,0.64609865470852,0.834887892376682,0.676233183856502,0.606367713004484,0.50152466367713,0.506905829596413,0.81829596412556,0.468340807174888,0.322600896860987,0.310493273542601,0.387443946188341,0.88762331838565,0.563408071748879,0.769955156950673,0.705201793721973,0.568520179372197,0.346726457399103,0.775336322869955,0.517578475336323,0.993273542600897,0.451121076233184,0.453452914798206,0.83390134529148,0.949506726457399,0.649596412556054,0.392645739910314,0.665919282511211,0.568968609865471,0.494080717488789,0.450493273542601,0.375695067264574
"S_T21",0.445022421524664,0.609955156950673,0.76152466367713,0.626547085201794,0.32,0.378026905829596,0,0.592107623318386,0.674439461883408,0.704304932735426,0.639282511210762,0.435156950672646,0.605022421524664,0.669506726457399,0.809686098654709,0.480269058295964,0.523318385650224,0.781255605381166,0.601793721973094,0.507713004484305,0.398116591928251,0.382959641255605,0.794798206278027,0.317399103139013,0.483587443946188,0.46914798206278,0.283587443946188,0.857309417040359,0.486995515695067,0.791210762331839,0.712556053811659,0.470762331838565,0.317130044843049,0.751031390134529,0.466905829596413,0.992556053811659,0.454439461883408,0.41847533632287,0.833363228699552,0.924843049327354,0.616502242152466,0.332914798206278,0.63542600896861,0.48627802690583,0.498206278026906,0.456322869955157,0.37695067264574
"S_T07",0.574798206278027,0.67372197309417,0.769058295964126,0.620627802690583,0.539641255605381,0.683677130044843,0.592107623318386,0,0.679730941704036,0.681793721973094,0.574887892376682,0.615515695067265,0.637668161434978,0.695874439461883,0.727085201793722,0.55219730941704,0.610403587443946,0.775067264573991,0.470224215246637,0.64609865470852,0.504125560538117,0.524663677130045,0.808430493273543,0.491210762331839,0.661345291479821,0.64304932735426,0.602062780269058,0.880269058295964,0.373363228699552,0.729506726457399,0.677309417040359,0.531659192825112,0.609775784753363,0.730313901345292,0.596771300448431,0.992645739910314,0.577578475336323,0.593273542600897,0.719372197309417,0.947174887892377,0.737219730941704,0.620358744394619,0.694349775784753,0.621165919282511,0.622152466367713,0.667264573991031,0.578834080717489
"S_R53",0.723766816143498,0.771748878923767,0.822780269058296,0.636681614349776,0.642869955156951,0.65542600896861,0.674439461883408,0.679730941704036,0,0.721345291479821,0.638744394618834,0.540089686098655,0.673363228699552,0.65067264573991,0.791031390134529,0.597578475336323,0.662421524663677,0.860717488789238,0.751300448430493,0.713991031390135,0.661076233183857,0.651659192825112,0.855156950672646,0.635964125560538,0.618206278026906,0.619372197309417,0.650493273542601,0.906816143497758,0.634439461883408,0.213811659192825,0.335784753363229,0.622331838565022,0.623587443946188,0.723677130044843,0.548071748878924,0.994977578475336,0.46304932735426,0.610493273542601,0.82780269058296,0.93067264573991,0.718295964125561,0.6352466367713,0.739820627802691,0.60609865470852,0.622511210762332,0.646726457399103,0.631031390134529
"S_R44",0.719910313901345,0.798206278026906,0.822421524663677,0.695964125560538,0.664125560538117,0.707174887892377,0.704304932735426,0.681793721973094,0.721345291479821,0,0.47237668161435,0.686457399103139,0.72,0.741704035874439,0.342331838565022,0.662600896860987,0.659103139013453,0.863587443946188,0.783856502242152,0.735964125560538,0.62780269058296,0.636233183856502,0.851838565022422,0.668340807174888,0.700269058295964,0.68322869955157,0.703766816143498,0.91067264573991,0.668251121076233,0.77085201793722,0.71219730941704,0.717130044843049,0.699282511210762,0.814529147982063,0.677309417040359,0.992466367713004,0.661614349775785,0.674887892376682,0.83542600896861,0.950941704035874,0.75677130044843,0.662600896860987,0.764125560538117,0.698565022421525,0.678206278026906,0.72762331838565,0.713542600896861
